1 vs. 2,ENSG00000059728,0.760437618,0.813491405,-21.43789474,21.43789474
1 vs. 2,ENSG00000162852,0.021842093,0.071551301,21.00210526,21.00210526
1 vs. 2,ENSG00000154310,0.773386577,0.823513485,20.66947368,20.66947368
1 vs. 2,ENSG00000125356,0.637050421,0.763133317,-20.17894737,20.17894737
1 vs. 2,ENSG00000123739,0.125510034,0.240560898,18.82315789,18.82315789
1 vs. 2,ENSG00000151023,0.189609228,0.32595043,18.29473684,18.29473684
1 vs. 2,ENSG00000128294,0.00100608,0.008570314,17.13894737,17.13894737
1 vs. 2,ENSG00000184113,1.78E-06,1.02E-04,16.45473684,16.45473684
1 vs. 2,ENSG00000048740,0.733411412,0.813491405,-16.37894737,16.37894737
1 vs. 2,ENSG00000125691,0.050377291,0.130188504,-16.34736842,16.34736842
1 vs. 2,ENSG00000074800,0.598915371,0.732715614,16.21894737,16.21894737
1 vs. 2,ENSG00000172809,0.13384444,0.250720969,-16.17684211,16.17684211
1 vs. 2,ENSG00000155366,0.757519908,0.813491405,-16.03578947,16.03578947
1 vs. 2,ENSG00000233927,0.461370579,0.620556918,-15.90736842,15.90736842
1 vs. 2,ENSG00000173542,0.349634438,0.499477768,15.67578947,15.67578947
1 vs. 2,ENSG00000145592,0.61169016,0.740467036,-15.00421053,15.00421053
1 vs. 2,ENSG00000167658,0.908925252,0.937456538,-14.70526316,14.70526316
1 vs. 2,ENSG00000117586,0.057640061,0.145683671,13.75157895,13.75157895
1 vs. 2,ENSG00000151748,0.032786344,0.096574235,13.57894737,13.57894737
1 vs. 2,ENSG00000187800,0.04470656,0.12097069,13.10105263,13.10105263
1 vs. 2,ENSG00000142046,0.019471964,0.066844056,12.52842105,12.52842105
1 vs. 2,ENSG00000090975,0.002822269,0.016949921,12.08631579,12.08631579
1 vs. 2,ENSG00000071082,0.19415019,0.330774398,11.42736842,11.42736842
1 vs. 2,ENSG00000131469,0.030184176,0.092200548,-9.633684211,9.633684211
1 vs. 2,ENSG00000164405,0.52537049,0.682025141,-8.210526316,8.210526316
1 vs. 2,ENSG00000160013,0.485846311,0.649678207,8.138947368,8.138947368
1 vs. 2,ENSG00000135940,0.970837985,0.983668443,-7.917894737,7.917894737
1 vs. 2,ENSG00000047648,0.018316471,0.063830126,7.494736842,7.494736842
1 vs. 2,ENSG00000102362,0.007694508,0.032177035,7.471578947,7.471578947
1 vs. 2,ENSG00000059377,0.047086464,0.123190725,-7.444210526,7.444210526
1 vs. 2,ENSG00000147649,0.88185,0.930392202,-7.383157895,7.383157895
1 vs. 2,ENSG00000105329,4.52E-04,0.005599241,7.183157895,7.183157895
1 vs. 2,ENSG00000134318,0.254513013,0.40651384,7.050526316,7.050526316
1 vs. 2,ENSG00000101040,0.071655416,0.172985545,6.747368421,6.747368421
1 vs. 2,ENSG00000188677,0.00401693,0.020997587,-6.661052632,6.661052632
1 vs. 2,ENSG00000101109,0.516895029,0.679347753,6.349473684,6.349473684
1 vs. 2,ENSG00000143878,0.537916803,0.690791317,-6.273684211,6.273684211
1 vs. 2,ENSG00000008018,0.938192648,0.963322808,-6.273684211,6.273684211
1 vs. 2,ENSG00000142961,0.082581719,0.18440578,-6.172631579,6.172631579
1 vs. 2,ENSG00000171858,0.078781072,0.181196466,-6.077894737,6.077894737
1 vs. 2,ENSG00000197122,0.080228855,0.181886988,-6.048421053,6.048421053
1 vs. 2,ENSG00000116001,0.307161051,0.452865653,5.964210526,5.964210526
1 vs. 2,ENSG00000137145,0.342354717,0.495230094,-5.856842105,5.856842105
1 vs. 2,ENSG00000101470,0.03207397,0.095805366,5.829473684,5.829473684
